Label,Area,X,Y,XM,YM
arm_circ,6856.741,83.032,105.112,87.263,103.861
BR,603.63,111.593,86.021,112.441,86.241
ECRL-ECRB,517.14,116.891,103.817,117.58,104.289
ECU,155.43,88.934,134.871,89.028,134.986
ED,332.64,115.261,123.788,115.604,123.731
EDM,54.36,102.518,132.401,102.624,132.559
FCR,425.7,67.203,79.911,67.39,79.665
FCU,272.52,41.382,111.959,41.5,112.111
FDP,737.01,59.826,120.86,60.173,121.341
PL,152.28,47.444,84.764,47.484,84.522
PT,337.68,82,90.339,82.09,90.115
SUP,528.39,97.045,114.165,97.2,114.203
FDS,519.39,52.401,97.165,52.855,96.979
